           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: dom-casmurro.txt
Estrutura utilizada: Open Hash
Total de palavras únicas: 9601
Tempo total de execução: 77 ms
Numero de comparações: 237244
Número de colisões: 81110
═══════════════════════════════════════════════════════
Palavra: nunca, Frequência: 44
Palavra: amigo, Frequência: 44
Palavra: queria, Frequência: 44
Palavra: d, Frequência: 44
Palavra: vae, Frequência: 44
Palavra: voz, Frequência: 43
Palavra: saber, Frequência: 43
Palavra: depressa, Frequência: 43
Palavra: capitulo, Frequência: 43
Palavra: padua, Frequência: 43
Palavra: noite, Frequência: 42
Palavra: primeira, Frequência: 41
Palavra: pessoa, Frequência: 41
Palavra: delle, Frequência: 41
Palavra: onde, Frequência: 41
Palavra: sala, Frequência: 41
Palavra: achei, Frequência: 40
Palavra: perguntou, Frequência: 40
Palavra: naturalmente, Frequência: 40
Palavra: toda, Frequência: 39
Palavra: fóra, Frequência: 39
Palavra: alma, Frequência: 39
Palavra: ouvi, Frequência: 39
Palavra: gente, Frequência: 39
Palavra: veiu, Frequência: 38
Palavra: nas, Frequência: 38
Palavra: senhora, Frequência: 38
Palavra: mãos, Frequência: 38
Palavra: vezes, Frequência: 37
Palavra: meio, Frequência: 37
Palavra: mundo, Frequência: 37
Palavra: sobre, Frequência: 37
Palavra: velho, Frequência: 37
Palavra: seria, Frequência: 37
Palavra: nosso, Frequência: 37
Palavra: preciso, Frequência: 37
Palavra: algumas, Frequência: 37
Palavra: sancha, Frequência: 37
Palavra: any, Frequência: 37
Palavra: bom, Frequência: 36
Palavra: bocca, Frequência: 36
Palavra: havia, Frequência: 36
Palavra: aquella, Frequência: 36
Palavra: dentro, Frequência: 36
Palavra: pessoas, Frequência: 35
Palavra: alli, Frequência: 35
Palavra: quasi, Frequência: 35
Palavra: certo, Frequência: 35
Palavra: cara, Frequência: 35
Palavra: caso, Frequência: 34
Palavra: lembra, Frequência: 34
Palavra: parece, Frequência: 34
Palavra: dizia, Frequência: 34
Palavra: parte, Frequência: 34
